ICD10;AirP;AQHI;SH;CO;SC;O3;SO;PM2.5;SP;AQHIX;SI;NO2;SN;O3H8;S8;SO2;SS;LAG
I00-I99;Age 0-10 All;0.01853922;0.03111498;0.2908053;0.2833244;-0.004064345;0.003649507;0.003238486;0.003926877;0.03050075;0.02098902;0.003850742;0.00359326;0.003425419;0.002475065;0.01082446;0.01977406;1
I00-I99;Age 0-10 Female;-0.03697547;0.04446266;0.006603483;0.389712544;-0.006603706;0.005082255;-0.000541093;0.005662841;-0.000308752;0.029615841;-0.001423113;0.004992964;0.001673898;0.003521074;-0.03384149;0.02858677;1
I00-I99;Age 0-10 Male;0.05204229;0.03707662;0.4872809;0.345848;-0.002540698;0.004419969;0.005456149;0.004654791;0.05003406;0.02519563;0.007405784;0.004358566;0.004469501;0.002954158;0.03764244;0.02346041;1
I00-I99;Age 11-60 All;0.012355107;0.005030557;0.03938486;0.044985;0.000751854;0.000607293;0.000900716;0.000630595;0.008817519;0.003427884;0.001153784;0.000598323;0.000957672;0.000394998;0.005075405;0.003105737;1
I00-I99;Age 11-60 Female;0.015248974;0.007060051;0.01769825;0.06333202;0.001451377;0.000851777;0.001079466;0.000885626;0.010411916;0.004810906;0.001134295;0.000843044;0.001378911;0.000551762;0.006312528;0.00438813;1
I00-I99;Age 11-60 Male;0.010215976;0.006239046;0.05572942;0.05566512;0.000221446;0.000753072;0.000774397;0.000781332;0.007640752;0.004251236;0.001172699;0.000739557;0.000636497;0.000491613;0.004185296;0.003830748;1
I00-I99;Age 60+All;0.010086736;0.003693422;0.02117438;0.0329355;-2.28E-05;0.000445009;0.00100435;0.000462114;0.005947007;0.002517615;0.001170144;0.000436791;0.0002049;0.000291788;0.004879315;0.00228969;1
I00-I99;Age 60+ Female;0.00878958;0.004718777;-0.005718358;0.041942283;0.000385408;0.000568037;0.000735513;0.000590487;0.00446934;0.003215982;0.000847833;0.000557692;0.000189282;0.000372674;0.003908368;0.002926626;1
I00-I99;Age 60+ Male;0.011442634;0.005038315;0.04991722;0.04507879;-0.000452815;0.000607029;0.00128591;0.00063008;0.007499237;0.003434031;0.001509767;0.000596197;0.000221235;0.000397833;0.005886388;0.003121281;1
I00-I99;All: Lag 2;0.006970467;0.003282337;0.03116651;0.02904602;-0.000398794;0.000392509;0.00075528;0.000410199;0.004960503;0.002238136;0.001013061;0.000388603;0.000131417;0.000258354;0.004654403;0.002009099;2
I00-I99;Female;0.008219167;0.004146962;0.02250012;0.03674086;-0.000702015;0.000495671;0.000836735;0.000518101;0.006912812;0.002827083;0.001364044;0.000490799;0.000230261;0.000326265;0.005520761;0.002541668;2
I00-I99;Male;0.005795426;0.004207943;0.03916317;0.03723754;-0.000115143;0.000503165;0.000678291;0.000525973;0.003130768;0.002869559;0.000684169;0.000498387;3.84E-05;0.00033119;0.003847972;0.002572846;2
I00-I99;Warm All;0.005694339;0.003110102;0.08498299;0.03716802;0.00037271;0.000363419;0.000939364;0.000437362;0.003000212;0.002114091;0.000524561;0.000461464;0.000282124;0.00020742;0.002530911;0.002408709;2
I00-I99;Warm Female;0.006328541;0.003975319;0.10775377;0.04754756;-0.000298614;0.000464474;0.000755614;0.000559887;0.005862166;0.0026995;0.001464198;0.000588378;0.000322597;0.00026503;0.002771164;0.0030817;2
I00-I99;Warm Male;0.005093116;0.004010674;0.06371431;0.04799943;0.000999755;0.000468305;0.001109235;0.000563287;0.000321888;0.002727389;-0.000358143;0.00059586;0.000244423;0.000267517;0.002311203;0.003102734;2
I00-I99;Cold All;0.008578261;0.003529745;0.01030561;0.02466534;-0.001639368;0.000436593;0.000586611;0.00039243;0.007658874;0.002418954;0.001336859;0.000344381;-0.000534372;0.000396384;0.005793389;0.001761679;2
I00-I99;Cold Female;0.010031186;0.004406328;-0.01421082;0.03084774;-0.001376579;0.00054543;0.000770971;0.000489178;0.008179214;0.003022891;0.001327589;0.000430735;-0.000241607;0.000494117;0.006760749;0.002203924;2
I00-I99;Cold Male;0.007190111;0.004499251;0.03311334;0.03139066;-0.001888265;0.000556593;0.000410483;0.000500715;0.007158226;0.003081545;0.001344486;0.000438598;-0.000814423;0.000505733;0.004889869;0.002242194;2
I00-I99;Age 0-10 All;0.007973049;0.03186302;0.1286346;0.2813113;-0.003176935;0.003664552;0.001389128;0.004062753;0.01869829;0.02133145;0.002629409;0.003673294;0.001735681;0.002450885;0.02544276;0.01941299;2
I00-I99;Age 0-10 Female;0.05028161;0.04501089;0.1870706;0.3798962;3.31E-05;0.005043038;0.01001326;0.00566587;0.03815233;0.03027114;0.003095981;0.005135613;0.00577634;0.003442921;0.0435088;0.02673909;2
I00-I99;Age 0-10 Male;-0.01791714;0.03824527;0.09144944;0.34670617;-0.005290243;0.004467969;-0.003791003;0.004934615;0.006119846;0.025509537;0.002188796;0.004431042;-0.000830416;0.002948192;0.013824;0.02369286;2
I00-I99;Age 11-60 All;0.003695418;0.00505753;0.01399678;0.04486594;-0.000574809;0.000601962;0.000560825;0.000632504;0.002905137;0.003449799;0.000688524;0.000600115;-2.01E-05;0.000396474;0.002483817;0.003079124;2
I00-I99;Age 11-60 Female;0.008887796;0.007103904;-0.00099747;0.06340633;-0.00075571;0.000845665;0.000893927;0.000890336;0.006732751;0.004844948;0.001499935;0.000845066;5.12E-05;0.000554935;0.002503263;0.004350392;2
